URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/find-by-department/,Find Courses by Department | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/special-programs/sp-601j-feminist-political-thought-spring-2010/assignments/,Assignments | Feminist Political Thought | Special Programs | MIT OpenCourseWare,N/A,feminist political thought;equality;suffrage;;radical feminism;psychoanalysis;power;sexuality;gender;embodied knowledge;pornography;identity;global feminism;militarism;welfare state;Gender Studies;Women s Studies;Political Philosophy,education;learning;free;,Assignments ,MIT Open CourseWare,N/A,any time,No,Wood; Elizabeth A. ,N/A,N/A,?
http://ocw.mit.edu/courses/special-programs/sp-259-information-and-communication-technology-in-africa-spring-2006/,Information and Communication Technology in Africa | Special Programs | MIT OpenCourseWare,This is a discussion-based; interactive seminar on the development of information and communication technology in Sub-Saharan Africa. The students will seek to understand the issues surrounding designing and instituting policy; and explore the possible ways in which they can make an impact on information and communication technology in Africa.,Information;information technology;communication;communication technology;innovation;Africa;international development;international aid;policy;ESG.SP259;Information Technology;Telecommunications;The Developing World;Communication,education;learning;free;,Information and Communication Technology in Africa ,MIT Open CourseWare,N/A,any time,No,Bobbili; Raja and Miyagawa; Shigeru ,This is a discussion-based; interactive seminar on the development of information and communication technology in Sub-Saharan Africa. The students will seek to understand the issues surrounding designing and instituting policy; and explore the possible ways in which they can make an impact on information and communication technology in Africa.,Undergraduate,?
http://ocw.mit.edu/courses/urban-studies-and-planning/11-308j-advanced-seminar-urban-nature-and-city-design-fall-2012/index.htm,Advanced Seminar: Urban Nature and City Design | Urban Studies and Planning | MIT OpenCourseWare,This course will explore the mutual influences of ideas of nature; theories of city design and planning; and practices of urban design; construction; and management. We will investigate how natural processes shape urban landscapes (from the scale of street corner to region) and how to intervene strategically in those processes in order to achieve certain goals. We will examine cases of cities that adapted successfully to natural processes and those that did not. Students will then have the opportunity to research a case of their choice and to present their findings for discussion. The subject may be historical or an an example of contemporary theory and practice. Additional information is also available at Professor Spirn s class website.,urban nature;city design;urban design;environmental design;landscape architecture;boston;ma;philadelphia;pa;earth;water;air;urban biome;community building;environmental reconstruction;new orleans;la;environmental restoration;Urban Planning,education;learning;free;,Advanced Seminar: Urban Nature and City Design ,MIT Open CourseWare,N/A,any time,No,Spirn; Anne Whiston ,This course will explore the mutual influences of ideas of nature; theories of city design and planning; and practices of urban design; construction; and management. We will investigate how natural processes shape urban landscapes (from the scale of street corner to region) and how to intervene strategically in those processes in order to achieve certain goals. We will examine cases of cities that adapted successfully to natural processes and those that did not. Students will then have the opportunity to research a case of their choice and to present their findings for discussion. The subject may be historical or an an example of contemporary theory and practice. Additional information is also available at Professor Spirn s class website.,Graduate,?
http://ocw.mit.edu/courses/womens-and-gender-studies/wgs-615-feminist-inquiry-strategies-for-effective-scholarship-fall-2012/index.htm,Feminist Inquiry: Strategies for Effective Scholarship | Women s and Gender Studies | MIT OpenCourseWare,This course investigates theories and practices of feminist inquiry across a range of disciplines. Feminist research involves rethinking disciplinary assumptions and methodologies; developing new understandings of what counts as knowledge; seeking alternative ways of understanding the origins of problems/issues; formulating new ways of asking questions and redefining the relationship between subjects and objects of study.  What makes research distinctively feminist lies in the complex connections between epistemologies; methodologies and research methods. This course explores how these connections are formed in the traditional disciplines and raise questions about why they are inadequate and/or problematic for feminist inquiry and what; specifically; are the feminist critiques of these intersections. This course is part of the Graduate Consortium in Women s Studies at MIT.,feminism;feminist;inquiry;feminist inquiry;globalization;interdiscipline;research;methods;politics;poststructuralism;narration;representation of the body;production;reproduction;identity;third wave feminism;Gender Studies,education;learning;free;,Feminist Inquiry: Strategies for Effective Scholarship ,MIT Open CourseWare,N/A,any time,No,Bergland; Renee and Maher; Frinde ,This course investigates theories and practices of feminist inquiry across a range of disciplines. Feminist research involves rethinking disciplinary assumptions and methodologies; developing new understandings of what counts as knowledge; seeking alternative ways of understanding the origins of problems/issues; formulating new ways of asking questions and redefining the relationship between subjects and objects of study.  What makes research distinctively feminist lies in the complex connections between epistemologies; methodologies and research methods. This course explores how these connections are formed in the traditional disciplines and raise questions about why they are inadequate and/or problematic for feminist inquiry and what; specifically; are the feminist critiques of these intersections. This course is part of the Graduate Consortium in Women s Studies at MIT.,Graduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007/download-course-materials/,Download Course Materials | Circuits and Electronics | Electrical Engineering and Computer Science | MIT OpenCourseWare,This section offers users the option to download complete .ZIP files as a free service to assist in offline and low-bandwidth use.,Fundamentals of the lumped circuit abstraction;Resistive elements and networks;independent and dependent sources;switches and MOS devices;digital abstraction;amplifiers;and energy storage elements;Dynamics of first- and second-order networks;design in the time and frequency domains;analog and digital circuits and applications;Electrical Engineering;Electronics,education;learning;free;,Download Course Materials ,MIT Open CourseWare,N/A,any time,No,Agarwal; Anant ,This section offers users the option to download complete .ZIP files as a free service to assist in offline and low-bandwidth use.,N/A,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-17-systems-neuroscience-lab-spring-2013/index.htm,Systems Neuroscience Lab | Brain and Cognitive Sciences | MIT OpenCourseWare,Systems Neuroscience Laboratory consists of a series of laboratories designed to give students experience with basic techniques for conducting systems neuroscience research. It includes sessions on anatomical; neurophysiological; and data acquisition and analysis techniques; and the ways these techniques are used to study nervous system function. Training is provided in the art of scientific writing with feedback designed to improve writing skills. Assignments include weekly preparation for lab sessions; two major research reports and a series of basic computer programming tutorials (MATLAB&reg;). The class involves the use of experimental animals. Enrollment is limited.,laboratory;experiment;protocol;neuroscience;nerves;nervous system;electrophysiology;action potential;neurophysiology;rat barrel;MATLAB;frog;fly;vision;physiology;human;MRI;EEG;electroencephalography;ablation;computer modeling techniques;brain function;histology;neural tissue;surgery;laboratory notebook;scientific writing;Neurobiology;Neuroscience,education;learning;free;,Systems Neuroscience Lab ,MIT Open CourseWare,N/A,any time,No,DiCarlo; James and Tye; Kay ,Systems Neuroscience Laboratory consists of a series of laboratories designed to give students experience with basic techniques for conducting systems neuroscience research. It includes sessions on anatomical; neurophysiological; and data acquisition and analysis techniques; and the ways these techniques are used to study nervous system function. Training is provided in the art of scientific writing with feedback designed to improve writing skills. Assignments include weekly preparation for lab sessions; two major research reports and a series of basic computer programming tutorials (MATLAB&reg;). The class involves the use of experimental animals. Enrollment is limited.,Undergraduate,?
http://ocw.mit.edu/courses/special-programs/sp-260-womens-novels-a-weekly-book-club-spring-2006/,Women s Novels: A Weekly Book Club | Special Programs | MIT OpenCourseWare,This pass/fail seminar should be a fun setting where we can all enjoy a love of good books together. Students will read approximately one novel every two weeks; and the class will discuss each novel in a relaxed and interactive setting; with attention to whatever themes and issues interest them most about each book. We will read a wide mixture of classic and contemporary novels written by women; including: Edith Wharton; The House of Mirth; Toni Morrison; Jazz; Virginia Woolf; Mrs. Dalloway; Alice Walker; The Color Purple; Charlotte Bront&euml;; Jane Eyre; Sheri Reynolds; The Rapture of Canaan; Jane Austen; Pride and Prejudice; and Sylvia Plath; The Bell Jar. Recurrent issues likely to be discussed include: gender; race; and class; romance; love; and marriage; depression and suicide; and conception; childbirth; and parenthood.,women s novels;literature;Edith Wharton;The House of Mirth;Toni Morrison;Jazz;Virginia Woolf;Mrs. Dalloway;Alice Walker;The Color Purple;Charlotte Bronte;Jane Eyre;Sheri Reynolds;The Rapture of Canaan;Jane Austen;Pride and Prejudice;Sylvia Plath;The Bell Jar;ESG.SP260;Women s Studies;Fiction;Gender Studies,education;learning;free;,Women s Novels: A Weekly Book Club ,MIT Open CourseWare,N/A,any time,No,Kasemset; Faye and Sweet; Holly and Rodal; Jocelyn ,This pass/fail seminar should be a fun setting where we can all enjoy a love of good books together. Students will read approximately one novel every two weeks; and the class will discuss each novel in a relaxed and interactive setting; with attention to whatever themes and issues interest them most about each book. We will read a wide mixture of classic and contemporary novels written by women; including: Edith Wharton; The House of Mirth; Toni Morrison; Jazz; Virginia Woolf; Mrs. Dalloway; Alice Walker; The Color Purple; Charlotte Bront&euml;; Jane Eyre; Sheri Reynolds; The Rapture of Canaan; Jane Austen; Pride and Prejudice; and Sylvia Plath; The Bell Jar. Recurrent issues likely to be discussed include: gender; race; and class; romance; love; and marriage; depression and suicide; and conception; childbirth; and parenthood.,Undergraduate,?
http://ocw.mit.edu/courses/mechanical-engineering/2-20-marine-hydrodynamics-13-021-spring-2005/,Marine Hydrodynamics (13.021) | Mechanical Engineering | MIT OpenCourseWare,In this course the fundamentals of fluid mechanics are developed in the context of naval architecture and ocean science and engineering. The various topics covered are: Transport theorem and conservation principles; Navier-Stokes  equation; dimensional analysis; ideal and potential flows; vorticity and Kelvin s theorem; hydrodynamic forces in potential flow; D Alembert s paradox; added-mass; slender-body theory; viscous-fluid flow; laminar and turbulent boundary layers; model testing; scaling laws; application of potential theory to surface waves; energy transport; wave/body forces; linearized theory of lifting surfaces; and experimental project in the towing tank or propeller tunnel.This subject was originally offered in Course 13 (Department of Ocean Engineering) as 13.021. In 2005; ocean engineering became part of Course 2 (Department of Mechanical Engineering); and this subject was renumbered 2.20.,fundamentals of fluid mechanics;naval architecture;ocean science and engineering;transport theorem;conservation principles;Navier-Stokes  equation;dimensional analysis;ideal and potential flows;vorticity and Kelvin s theorem;hydrodynamic forces in potential flow;D Alembert s paradox;added-mass;slender-body theory. Viscous-fluid flow;laminar and turbulent boundary layers;model testing;scaling laws;application of potential theory to surface waves;energy transport;wave/body forces;linearized theory of lifting surfaces;experimental project in the towing tank or propeller tunnel;Hydrodynamics;Fluid Mechanics,education;learning;free;,Marine Hydrodynamics (13.021) ,MIT Open CourseWare,N/A,any time,No,Yue; Dick K. P. ,In this course the fundamentals of fluid mechanics are developed in the context of naval architecture and ocean science and engineering. The various topics covered are: Transport theorem and conservation principles; Navier-Stokes  equation; dimensional analysis; ideal and potential flows; vorticity and Kelvin s theorem; hydrodynamic forces in potential flow; D Alembert s paradox; added-mass; slender-body theory; viscous-fluid flow; laminar and turbulent boundary layers; model testing; scaling laws; application of potential theory to surface waves; energy transport; wave/body forces; linearized theory of lifting surfaces; and experimental project in the towing tank or propeller tunnel.This subject was originally offered in Course 13 (Department of Ocean Engineering) as 13.021. In 2005; ocean engineering became part of Course 2 (Department of Mechanical Engineering); and this subject was renumbered 2.20.,Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-520-statistical-learning-theory-and-applications-spring-2006/index.htm,Statistical Learning Theory and Applications | Brain and Cognitive Sciences | MIT OpenCourseWare,This course is for upper-level graduate students who are planning careers in computational neuroscience. This course focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. It develops basic tools such as Regularization including Support Vector Machines for regression and classification. It derives generalization bounds using both stability and VC theory. It also discusses topics such as boosting and feature selection and examines applications in several areas: Computer Vision; Computer Graphics; Text Classification; and Bioinformatics. The final projects; hands-on applications; and exercises are designed to&nbsp;illustrate the rapidly increasing practical uses of the techniques described throughout the course.,supervised learning;statistical learning;multivariate function;Support Vector Machines;regression;classification;VC theory;computer vision;computer graphics;classification;bioinformatics;Probability and Statistics;Cognitive Science;Computation and Systems Biology;Neuroscience,education;learning;free;,Statistical Learning Theory and Applications ,MIT Open CourseWare,N/A,any time,No,Poggio; Tomaso ,This course is for upper-level graduate students who are planning careers in computational neuroscience. This course focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. It develops basic tools such as Regularization including Support Vector Machines for regression and classification. It derives generalization bounds using both stability and VC theory. It also discusses topics such as boosting and feature selection and examines applications in several areas: Computer Vision; Computer Graphics; Text Classification; and Bioinformatics. The final projects; hands-on applications; and exercises are designed to&nbsp;illustrate the rapidly increasing practical uses of the techniques described throughout the course.,Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-675-the-development-of-object-and-face-recognition-spring-2006/index.htm,The Development of Object and Face Recognition | Brain and Cognitive Sciences | MIT OpenCourseWare,This course takes a  back to the beginning  view that aims to better understand the end result. What might be the developmental processes that lead to the organization of  booming; buzzing confusions  into coherent visual objects? This course examines key experimental results and computational proposals pertinent to the discovery of objects in complex visual inputs. The structure of the course is designed to get students to learn and to focus on the genre of study as a whole; to get a feel for how science is done in this field.,computational theories of human cognition;principles of inductive learning and inference;representation of knowledge;computational frameworks;Bayesian models;hierarchical Bayesian models;probabilistic graphical models;nonparametric statistical models;Bayesian Occam s razor;sampling algorithms for approximate learning and inference;probabilistic models defined over structured representations such as first-order logic;grammars;relational schemas;core aspects of cognition;concept learning;concept categorization;causal reasoning;theory formation;language acquisition;social inference;Computational Modeling and Simulation;Cognitive Science,education;learning;free;,The Development of Object and Face Recognition ,MIT Open CourseWare,N/A,any time,No,Sinha; Pawan ,This course takes a  back to the beginning  view that aims to better understand the end result. What might be the developmental processes that lead to the organization of  booming; buzzing confusions  into coherent visual objects? This course examines key experimental results and computational proposals pertinent to the discovery of objects in complex visual inputs. The structure of the course is designed to get students to learn and to focus on the genre of study as a whole; to get a feel for how science is done in this field.,Graduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/index.htm,Probabilistic Systems Analysis and Applied Probability | Electrical Engineering and Computer Science | MIT OpenCourseWare,Welcome to 6.041/6.431; a subject on the modeling and analysis of random phenomena and processes; including the basics of statistical inference. Nowadays; there is broad consensus that the ability to think probabilistically is a fundamental component of scientific literacy. For example:      The concept of statistical significance (to be touched upon at the end of this course) is considered by the Financial Times as one of &quot;The Ten Things Everyone Should Know About Science&quot;.     A recent Scientific American article argues that statistical literacy is crucial in making health-related decisions.     Finally; an article in the New York Times identifies statistical data analysis as an upcoming profession; valuable everywhere; from Google and Netflix to the Office of Management and Budget.  The aim of this class is to introduce the relevant models; skills; and tools; by combining mathematics with conceptual understanding and intuition.,probability;probability models;bayes rule;discrete random variables;continuous random variables;bernoulli process;poisson process;markov chains;central limit theorem;statistical inference;Probability and Statistics;Systems Engineering,education;learning;free;,Probabilistic Systems Analysis and Applied Probability ,MIT Open CourseWare,N/A,any time,No,Tsitsiklis; John ,Welcome to 6.041/6.431; a subject on the modeling and analysis of random phenomena and processes; including the basics of statistical inference. Nowadays; there is broad consensus that the ability to think probabilistically is a fundamental component of scientific literacy. For example:      The concept of statistical significance (to be touched upon at the end of this course) is considered by the Financial Times as one of &quot;The Ten Things Everyone Should Know About Science&quot;.     A recent Scientific American article argues that statistical literacy is crucial in making health-related decisions.     Finally; an article in the New York Times identifies statistical data analysis as an upcoming profession; valuable everywhere; from Google and Netflix to the Office of Management and Budget.  The aim of this class is to introduce the relevant models; skills; and tools; by combining mathematics with conceptual understanding and intuition.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/physics/8-251-string-theory-for-undergraduates-spring-2007/,String Theory for Undergraduates | Physics | MIT OpenCourseWare,This course introduces string theory to undergraduate and is based upon Prof. Zwiebach s textbook entitled A First Course in String Theory. Since string theory is quantum mechanics of a relativistic string; the foundations of the subject can be explained to students exposed to both special relativity and basic quantum mechanics. This course develops the aspects of string theory and makes it accessible to students familiar with basic electromagnetism and statistical mechanics.,string theory;quantum mechanics;relativistic string;special relativity;electromagnetism;statistical mechanics;D-branes;string thermodynamics. Light-cone;Tachyons;Kalb-Ramond fields;Lorentz invariance;Born-Infeld electrodynamics;Hagedorn temperature;Riemann surfaces;fermionic string theories;Theoretical Physics;Quantum Mechanics,education;learning;free;,String Theory for Undergraduates ,MIT Open CourseWare,N/A,any time,No,Zwiebach; Barton and Guth; Alan ,This course introduces string theory to undergraduate and is based upon Prof. Zwiebach s textbook entitled A First Course in String Theory. Since string theory is quantum mechanics of a relativistic string; the foundations of the subject can be explained to students exposed to both special relativity and basic quantum mechanics. This course develops the aspects of string theory and makes it accessible to students familiar with basic electromagnetism and statistical mechanics.,Undergraduate,?
http://ocw.mit.edu/courses/media-arts-and-sciences/mas-771-autism-theory-and-technology-spring-2011/index.htm,Autism Theory and Technology | Media Arts and Sciences | MIT OpenCourseWare,This course illuminates current theories about autism together with challenges faced by people on the autism spectrum. Theories in communicating; interacting socially; managing cognitive and affective overload; and achieving independent lifestyles are covered. In parallel; the course presents state-of-the-art technologies being developed for helping improve both theoretical understanding and practical outcomes. Participants are expected to meet and interact with people on the autism spectrum. Weekly reading; discussion; and a term project are required.,autism;autism technology;ASD;assistive technology;disability;mainstreaming;special needs;autism spectrum disorder;Psychology;Educational Technology;Human-Computer Interfaces;Mental Health,education;learning;free;,Autism Theory and Technology ,MIT Open CourseWare,N/A,any time,No,Picard; Rosalind W. and Goodwin; Matthew ,This course illuminates current theories about autism together with challenges faced by people on the autism spectrum. Theories in communicating; interacting socially; managing cognitive and affective overload; and achieving independent lifestyles are covered. In parallel; the course presents state-of-the-art technologies being developed for helping improve both theoretical understanding and practical outcomes. Participants are expected to meet and interact with people on the autism spectrum. Weekly reading; discussion; and a term project are required.,Graduate,?
http://ocw.mit.edu/courses/special-programs/sp-406-sexual-and-gender-identities-fall-2010/index.htm,Sexual and Gender Identities | Special Programs | MIT OpenCourseWare,This course introduces scholarly debates about sexual identities; gender identities and expressions; and sexual orientation and its representation in film and literature. We begin with a contemporary debate about biology and gender identity; considering its relationship to the historical understanding of sex; gender; and sexual identity. Our investigation continues with the theoretical underpinnings of the emerging field of queer studies; from the nineteenth century to the present day; and considers how subsequent work in transgender studies continues to challenge traditional understandings of sex; gender; and sexuality.,sex;gender;identity;homosexual;transgender;lesbian;third sex;drag;stonewall;queer;masculinity;femininity;sexuality;medicalization;marriage;feminism;queer theory;trans;genderqueer;essentialism;women;gender studies;Gender Studies;Women s Studies;Media Studies,education;learning;free;,Sexual and Gender Identities ,MIT Open CourseWare,N/A,any time,No,Surkan; Kim ,This course introduces scholarly debates about sexual identities; gender identities and expressions; and sexual orientation and its representation in film and literature. We begin with a contemporary debate about biology and gender identity; considering its relationship to the historical understanding of sex; gender; and sexual identity. Our investigation continues with the theoretical underpinnings of the emerging field of queer studies; from the nineteenth century to the present day; and considers how subsequent work in transgender studies continues to challenge traditional understandings of sex; gender; and sexuality.,Undergraduate,?
http://ocw.mit.edu/courses/media-arts-and-sciences/mas-531-computational-camera-and-photography-fall-2009/lecture-notes/,Lecture Notes | Computational Camera and Photography | Media Arts and Sciences | MIT OpenCourseWare,This page presents selected lecture content in three forms: audio recordings; slides; and scribed notes taken by students during class.,digital photography;digital imaging;image processing;applied optics;computer graphics;computer vision;Digital Media;Graphics and Visualization;Signal Processing;Visual Arts,education;learning;free;,Lecture Notes ,MIT Open CourseWare,N/A,any time,No,Raskar; Ramesh ,This page presents selected lecture content in three forms: audio recordings; slides; and scribed notes taken by students during class.,N/A,?
http://ocw.mit.edu/courses/political-science/17-181-sustainable-development-theory-and-policy-spring-2009/,Sustainable Development: Theory and Policy | Political Science | MIT OpenCourseWare,This course examines alternative conceptions and theoretical underpinnings of the notion of  sustainable development.  It focuses on the sustainability problems of industrial countries (i.e.; aging of populations; sustainable consumption; institutional adjustments; etc.); and of developing states and economies in transition (i.e.; managing growth; sustainability of production patterns; pressures of population change; etc.). It also explores the sociology of knowledge around sustainability; the economic and technological dimensions and institutional imperatives along with implications for political constitution of economic performance.,political theory;sustainable development;industrial ized nations;aging population;consumption;developing countries;economics;production;sociology;technology;regulation;public policy;environment;business;17.181;17.182;Political Philosophy;Political Economy;Public Policy;Globalization,education;learning;free;,Sustainable Development: Theory and Policy ,MIT Open CourseWare,N/A,any time,No,Choucri; Nazli ,This course examines alternative conceptions and theoretical underpinnings of the notion of  sustainable development.  It focuses on the sustainability problems of industrial countries (i.e.; aging of populations; sustainable consumption; institutional adjustments; etc.); and of developing states and economies in transition (i.e.; managing growth; sustainability of production patterns; pressures of population change; etc.). It also explores the sociology of knowledge around sustainability; the economic and technological dimensions and institutional imperatives along with implications for political constitution of economic performance.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/biology/7-349-from-molecules-to-behavior-synaptic-neurophysiology-spring-2010/index.htm,From Molecules to Behavior: Synaptic Neurophysiology | Biology | MIT OpenCourseWare,Like transistors in a computer; synapses perform complex computations and connect the brain s non-linear processing elements (neurons) into a functional circuit. Understanding the role of synapses in neuronal computation is essential to understanding how the brain works. In this course students will be introduced to cutting-edge research in the field of synaptic neurophysiology. The course will cover such topics as synapse formation; synaptic function; synaptic plasticity; the roles of synapses in higher cognitive processes and how synaptic dysfunction can lead to disease. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,synaptic neurophysiology;neuron;synaptic fusion;synaptic release;synaptic plasticity;neuronal circuits;Anatomy and Physiology;Neuroscience;Neurobiology,education;learning;free;,From Molecules to Behavior: Synaptic Neurophysiology ,MIT Open CourseWare,N/A,any time,No,Chubykin; Alex ,Like transistors in a computer; synapses perform complex computations and connect the brain s non-linear processing elements (neurons) into a functional circuit. Understanding the role of synapses in neuronal computation is essential to understanding how the brain works. In this course students will be introduced to cutting-edge research in the field of synaptic neurophysiology. The course will cover such topics as synapse formation; synaptic function; synaptic plasticity; the roles of synapses in higher cognitive processes and how synaptic dysfunction can lead to disease. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/media-arts-and-sciences/mas-531-computational-camera-and-photography-fall-2009/projects/,Projects | Computational Camera and Photography | Media Arts and Sciences | MIT OpenCourseWare,N/A,digital photography;digital imaging;image processing;applied optics;computer graphics;computer vision;Digital Media;Graphics and Visualization;Signal Processing;Visual Arts,education;learning;free;,Projects ,MIT Open CourseWare,N/A,any time,No,Raskar; Ramesh ,N/A,N/A,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-601j-language-acquisition-i-spring-2002/index.htm,Language Acquisition I | Brain and Cognitive Sciences | MIT OpenCourseWare,Lectures; reading; and discussion of current theory and data concerning the psychology and biology of language acquisition. Emphasizes learning of syntax and morphology; together with some discussion of phonology; and especially research relating grammatical theory and learnability theory to empirical studies of children.,psychology;language acquisition;syntax;morphology;phonology;grammatical theory;children;9.601J;24.949J;9.601;24.949;Linguistics;Cognitive Science;Neuroscience;Psychology,education;learning;free;,Language Acquisition I ,MIT Open CourseWare,N/A,any time,No,Wexler; Ken ,Lectures; reading; and discussion of current theory and data concerning the psychology and biology of language acquisition. Emphasizes learning of syntax and morphology; together with some discussion of phonology; and especially research relating grammatical theory and learnability theory to empirical studies of children.,Graduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013/unit-i/lecture-1/,Lecture 1: Probability Models and Axioms | Unit I: Probability Models And Discrete Random Variables | Probabilistic Systems Analysis and Applied Probability | Electrical Engineering and Computer Science | MIT OpenCourseWare,N/A,probability;probability models;bayes rule;discrete random variables;continuous random variables;bernoulli process;poisson process;markov chains;central limit theorem;statistical inference;Systems Engineering;Probability and Statistics,education;learning;free;,Lecture 1: Probability Models and Axioms ,MIT Open CourseWare,N/A,any time,No,Tsitsiklis; John ,N/A,N/A,?
http://ocw.mit.edu/courses/media-arts-and-sciences/mas-531-computational-camera-and-photography-fall-2009/assignments/,Assignments | Computational Camera and Photography | Media Arts and Sciences | MIT OpenCourseWare,This section contains a list of homework assignments and their descriptions.,digital photography;digital imaging;image processing;applied optics;computer graphics;computer vision;Digital Media;Graphics and Visualization;Signal Processing;Visual Arts,education;learning;free;,Assignments ,MIT Open CourseWare,N/A,any time,No,Raskar; Ramesh ,This section contains a list of homework assignments and their descriptions.,N/A,?
http://ocw.mit.edu/courses/athletics-physical-education-and-recreation/pe-210-scuba-spring-2007/index.htm,SCUBA | Athletics; Physical Education and Recreation | MIT OpenCourseWare,This course will thoroughly educate the successful student with the knowledge and skills necessary to be a certified beginning SCUBA diver. The prerequisite for the course is passing the MIT SCUBA swim test and demonstrating a &quot;comfort level&quot; in the water. At the end of the class; students will attempt to pass the certification exam to become certified divers. The class is taught in two parts each week: a classroom session and a pool session. The classroom sessions along with the reading material will provide the student with the knowledge necessary to pass the written exam. At the pool; the water skills are taught in progressions that build on the previous skills; making the difficult skills seem easy.,SCUBA;diving;physics;water;ocean;neutral buoyancy;regulator;decompression;rescue;swim techniques;kick cycles;marine life;ocean environment;navigation;dive tables;air consumption;snorkeling;skin diving;NAUI;Physical Education and Recreation,education;learning;free;,SCUBA ,MIT Open CourseWare,N/A,any time,No,Taylor; Halston ,This course will thoroughly educate the successful student with the knowledge and skills necessary to be a certified beginning SCUBA diver. The prerequisite for the course is passing the MIT SCUBA swim test and demonstrating a &quot;comfort level&quot; in the water. At the end of the class; students will attempt to pass the certification exam to become certified divers. The class is taught in two parts each week: a classroom session and a pool session. The classroom sessions along with the reading material will provide the student with the knowledge necessary to pass the written exam. At the pool; the water skills are taught in progressions that build on the previous skills; making the difficult skills seem easy.,Undergraduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-916-special-topics-social-animals-fall-2009/index.htm,Special Topics: Social Animals | Brain and Cognitive Sciences | MIT OpenCourseWare,Humans are social animals; social demands; both cooperative and competitive; structure our development; our brain and our mind. This course covers social development; social behaviour; social cognition and social neuroscience; in both human and non-human social animals. Topics include altruism; empathy; communication; theory of mind; aggression; power; groups; mating; and morality. Methods include evolutionary biology; neuroscience; cognitive science; social psychology and anthropology.,social animals;social;animals;society;human society;members;community;living together;mutual benefit;people;region;country;world;whole;association;body;individuals;functional interdependence;national or cultural identity;social solidarity;language or hierarchical organization;patterns of relationships between individuals sharing a distinctive culture and institutions;groups;economic;social or industrial infrastructure;made up of a varied collection of individuals;ethnic groups;nation state;broader cultural group;organized voluntary association of people for religious;benevolent;cultural;scientific;political;patriotic;or other purposes.;Cognitive Science;Neuroscience;Psychology,education;learning;free;,Special Topics: Social Animals ,MIT Open CourseWare,N/A,any time,No,Saxe; Rebecca ,Humans are social animals; social demands; both cooperative and competitive; structure our development; our brain and our mind. This course covers social development; social behaviour; social cognition and social neuroscience; in both human and non-human social animals. Topics include altruism; empathy; communication; theory of mind; aggression; power; groups; mating; and morality. Methods include evolutionary biology; neuroscience; cognitive science; social psychology and anthropology.,Graduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013/unit-i/quiz-1/,Quiz 1 | Unit I: Probability Models And Discrete Random Variables | Probabilistic Systems Analysis and Applied Probability | Electrical Engineering and Computer Science | MIT OpenCourseWare,N/A,probability;probability models;bayes rule;discrete random variables;continuous random variables;bernoulli process;poisson process;markov chains;central limit theorem;statistical inference;Systems Engineering;Probability and Statistics,education;learning;free;,Quiz 1 ,MIT Open CourseWare,N/A,any time,No,Tsitsiklis; John ,N/A,N/A,?
